,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, Beyondtrust,,,,,,,,,,,,,,,,,,
Total  Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Oct,Nov,Dec,,Oct,,,Dec,,,,,,,,,,,,
remote access,,,,,,,,,,,,,,,71,58,60,,204,,,191,,,,,,,,,,,,
remote desktop,,,,,,,,,,,,,,,23,9,8,,290,,,237,,,,,,,,,,,,
remote support,,,,,,,,,,,,,,,104,100,73,,21,,,19,,,,,,,,,,,,
remote connection,,,,,,,,,,,,,,,4,2,3,,13,,,10,,,,,,,,,,,,
secure remote access,,,,,,,,,,,,,,,10,9,9,,5,,,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative traffic*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Oct,Nov,Dec,,Oct,,,Dec,,,,,,,,,,,,
remote access,,,,,,,,,,,,,,,1687,1728,1521,,735,,,794,,,,,,,,,,,,
remote desktop,,,,,,,,,,,,,,,49,49,7,,948,,,748,,,,,,,,,,,,
remote support,,,,,,,,,,,,,,,2416,2492,502,,43,,,37,,,,,,,,,,,,
remote connection,,,,,,,,,,,,,,,1,1,3,,18,,,37,,,,,,,,,,,,
secure remote access,,,,,,,,,,,,,,,711,790,859,,19,,,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. of KWs Ranking on Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Oct,Nov,Dec,,Oct,,,Dec,,,,,,,,,,,,
remote access,,,,,,,,,,,,,,,38,41,38,,138,,,132,,,,,,,,,,,,
remote desktop,,,,,,,,,,,,,,,6,4,4,,108,,,104,,,,,,,,,,,,
remote support,,,,,,,,,,,,,,,84,90,64,,5,,,8,,,,,,,,,,,,
